univName,researchExp,industryExp,toeflScore,internExp,greV,greQ,greA,cgpa_4
Arizona State University,0.0,0.0,106.0,0.0,152.0,163.0,3.5,3.24
Carnegie Mellon University,0.0,0.0,110.0,0.0,156.0,165.0,4.0,3.2449473684210535
Clemson University,0.0,0.0,107.0,0.0,153.0,162.0,3.5,3.1227368421052635
Cornell University,0.0,0.0,109.0,0.0,154.0,164.0,4.0,3.422736842105264
George Mason University,0.0,0.0,101.0,0.0,149.0,160.0,3.5,2.821052631578948
Georgia Institute of Technology,0.0,0.0,112.0,0.0,158.0,166.0,4.0,3.3355789473684214
New Jersey Institute of Technology,0.0,0.0,98.0,0.0,146.5,158.0,3.0,2.803368421052632
New York University,0.0,0.0,108.0,0.0,155.0,164.0,3.5,3.04
North Carolina State University,0.0,0.0,109.0,0.0,155.0,166.0,3.5,3.312
Northeastern University,0.0,0.0,104.0,0.0,151.0,161.0,3.5,3.0315789473684216
Ohio State University Columbus,0.0,0.0,110.0,0.0,156.0,165.0,4.0,3.4000000000000004
Purdue University,0.0,0.0,110.0,0.0,156.0,166.0,4.0,3.5300000000000002
Rutgers University New Brunswick/Piscataway,0.0,0.0,108.0,0.0,154.0,165.0,3.5,3.1589473684210527
SUNY Buffalo,0.0,0.0,106.5,0.0,153.0,163.0,3.5,3.073684210526316
SUNY Stony Brook,0.0,0.0,108.0,0.0,154.0,165.0,3.5,3.3684210526315788
Syracuse University,0.0,0.0,105.0,0.0,152.0,161.0,3.5,3.073684210526316
Texas A and M University College Station,0.0,0.0,108.0,0.0,155.0,165.0,3.75,3.306
University of Arizona,0.0,0.0,107.0,0.0,154.0,162.0,3.5,3.052
University of California Irvine,0.0,0.0,110.0,0.0,154.0,164.0,3.5,3.3684210526315788
University of Cincinnati,0.0,0.0,107.0,0.0,154.0,163.0,3.5,3.192
University of Colorado Boulder,0.0,0.0,108.0,0.0,154.0,164.0,4.0,3.2
University of Florida,0.0,0.0,107.0,0.0,153.0,164.0,3.5,3.2
University of Illinois Chicago,0.0,0.0,105.0,0.0,152.0,162.0,3.5,3.1410526315789475
University of Illinois Urbana-Champaign,0.0,0.0,110.0,0.0,155.0,164.0,4.0,3.4920000000000004
University of Maryland College Park,0.0,0.0,107.0,0.0,153.0,162.0,3.5,3.0668421052631585
University of Massachusetts Amherst,0.0,0.0,107.0,0.0,153.0,163.0,3.5,3.512
University of Minnesota Twin Cities,0.0,0.0,109.0,0.0,155.0,165.0,3.5,3.504
University of North Carolina Charlotte,0.0,0.0,101.0,0.0,150.0,161.0,3.5,2.995894736842106
University of Pennsylvania,0.0,0.0,111.0,0.0,155.0,165.0,4.0,3.508
University of Southern California,0.0,0.0,107.0,0.0,153.0,163.0,3.5,3.4105263157894736
University of Texas Arlington,0.0,0.0,99.0,0.0,148.0,159.0,3.0,2.947368421052632
University of Texas Dallas,0.0,0.0,102.0,0.0,150.0,161.0,3.5,3.1578947368421053
University of Utah,0.0,0.0,107.0,0.0,153.0,164.0,3.5,3.226
University of Washington,0.0,0.0,109.0,0.0,156.0,163.0,4.0,3.1157894736842118
University of Wisconsin Madison,0.0,0.0,110.0,0.0,157.0,165.5,4.0,3.5820000000000003
Virginia Polytechnic Institute and State University,0.0,0.0,110.0,0.0,156.0,166.0,4.0,3.4000000000000004
